,termID,mainOntology
0,1,P
1,2,P
2,3,P
3,5,F
4,42254,P
5,44183,F
6,51082,F
7,6,F
8,7,F
9,8,F
10,3756,F
11,15036,F
12,9,F
13,10,F
14,11,P
15,12,P
16,14,F
17,15,C
18,16,F
19,17,P
20,18,P
21,19,P
22,20,P
23,45950,P
24,22,P
25,23,P
26,24,P
27,25,P
28,26,F
29,27,P
30,28,P
31,30,F
32,31,F
33,32,P
34,33,F
35,34,F
36,35,F
37,36,F
38,38,P
39,39,F
40,5324,F
41,5886,C
42,41,P
43,44,P
44,45,P
45,47,F
46,9055,F
47,48,F
48,49,F
49,50,P
50,51,P
51,52,P
52,53,P
53,54,P
54,55,P
55,56,P
56,59,P
57,60,P
58,61,P
59,62,F
60,64,F
61,67,P
62,6260,P
63,7059,P
64,51276,P
65,70,P
66,72,P
67,7017,P
68,73,P
69,75,P
70,76,P
71,77,P
72,78,P
73,44878,P
74,44879,P
75,79,P
76,80,P
77,82,P
78,83,P
79,84,P
80,85,P
81,86,P
82,87,P
83,88,P
84,89,P
85,90,P
86,91,P
87,92,P
88,93,P
89,94,P
90,917,P
91,918,P
92,921,P
93,95,F
94,96,P
95,97,P
96,98,P
97,99,F
98,100,F
99,101,P
100,102,F
101,103,P
102,104,F
103,105,P
104,107,F
105,108,C
106,109,C
107,110,C
108,111,C
109,112,C
110,113,C
111,114,P
112,115,P
113,116,P
114,117,P
115,118,C
116,120,C
117,121,F
118,122,P
119,123,C
120,124,C
121,125,C
122,126,C
123,127,C
124,128,P
125,131,C
126,132,P
127,133,C
128,136,C
129,137,C
130,138,C
131,139,C
132,140,F
133,142,C
134,144,C
135,145,C
136,146,F
137,147,P
138,148,C
139,149,F
140,150,F
141,151,C
142,152,C
143,153,C
144,154,P
145,155,F
146,156,F
147,159,C
148,160,P
149,161,P
150,162,P
151,164,C
152,165,P
153,166,F
154,167,P
155,168,P
156,169,P
157,170,F
158,171,F
159,172,C
160,173,P
161,174,P
162,750,P
163,175,F
164,176,C
165,177,C
166,178,C
167,179,F
168,180,C
169,22625,C
170,181,C
171,22627,C
172,182,F
173,183,P
174,184,P
175,185,P
176,186,P
177,187,P
178,188,P
179,189,P
180,6606,P
181,190,P
182,191,P
183,192,P
184,193,P
185,194,P
186,195,P
187,196,P
188,197,P
189,198,P
190,199,P
191,200,P
192,201,P
193,202,P
194,203,P
195,204,P
196,205,P
197,206,P
198,207,P
199,208,P
200,209,P
201,210,F
202,211,F
203,5515,F
204,19941,P
205,212,P
206,213,F
207,214,C
208,215,F
209,216,P
210,217,F
211,219,C
212,16469,C
213,220,C
214,221,C
215,222,C
216,223,C
217,224,F
218,225,F
219,226,P
220,227,F
221,228,C
222,229,C
223,230,C
224,794,C
225,231,C
226,793,C
227,232,C
228,233,C
229,234,F
230,235,C
231,236,P
232,237,P
233,238,P
234,239,P
235,240,P
236,241,P
237,242,C
238,243,C
239,244,P
240,245,P
241,246,F
242,247,F
243,248,F
244,249,F
245,250,F
246,252,F
247,253,F
248,254,F
249,255,P
250,256,P
251,257,F
252,258,F
253,5283,F
254,5304,F
255,15188,F
256,259,F
257,5337,F
258,5622,C
259,260,F
260,46961,F
261,261,F
262,46962,F
263,262,C
264,263,F
265,3924,F
266,5834,C
267,264,F
268,265,F
269,266,P
270,267,C
271,5575,C
272,268,F
273,269,F
274,270,P
275,271,P
276,272,P
277,274,C
278,275,C
279,276,C
280,277,F
281,278,P
282,279,P
283,280,P
284,281,P
285,282,P
286,284,P
287,753,P
288,285,F
289,286,F
290,287,F
291,288,P
292,289,P
293,290,P
294,291,P
295,292,P
296,293,F
297,294,P
298,295,F
299,296,P
300,297,F
301,298,F
302,299,C
303,16021,C
304,300,C
305,19898,C
306,301,P
307,302,P
308,303,P
309,304,P
310,305,P
311,306,C
312,307,C
313,308,C
314,309,F
315,310,F
316,311,C
317,312,C
318,313,C
319,314,C
320,315,C
321,316,P
322,319,F
323,320,P
324,321,P
325,322,C
326,323,C
327,324,C
328,325,C
329,326,C
330,327,C
331,328,C
332,329,C
333,330,C
334,331,C
335,332,F
336,333,C
337,334,F
338,335,P
339,336,P
340,337,P
341,338,P
342,339,F
343,340,F
344,341,F
345,342,F
346,343,C
347,344,C
348,345,C
349,346,C
350,347,C
351,348,P
352,349,P
353,350,P
354,352,P
355,353,P
356,354,P
357,362,F
358,384,F
359,363,F
360,364,F
361,386,F
362,365,P
363,366,P
364,367,F
365,372,P
366,373,P
367,374,P
368,375,P
369,376,P
370,377,P
371,378,P
372,379,P
373,380,P
374,381,P
375,387,P
376,388,P
377,389,P
378,390,P
379,393,P
380,394,P
381,395,P
382,398,P
383,399,C
384,400,F
385,401,F
386,402,F
387,403,F
388,404,F
389,405,F
390,406,F
391,407,C
392,408,C
393,409,P
394,410,P
395,411,P
396,412,P
397,413,P
398,414,P
399,415,P
400,416,P
401,417,C
402,418,C
403,419,C
404,421,C
405,422,P
406,423,P
407,424,P
408,425,P
409,426,P
410,427,C
411,428,C
412,429,P
413,430,P
414,431,P
415,432,P
416,433,P
417,434,P
418,435,P
419,436,P
420,437,P
421,438,C
422,439,C
423,440,C
424,444,C
425,445,C
426,446,C
427,447,P
428,448,P
429,449,P
430,450,P
431,451,P
432,452,P
433,453,P
434,454,P
435,455,P
436,456,P
437,457,P
438,458,P
439,459,P
440,460,P
441,461,P
442,462,P
443,463,P
444,464,P
445,465,P
446,466,P
447,467,P
448,468,P
449,469,P
450,470,P
451,471,P
452,472,P
453,473,P
454,474,P
455,475,P
456,476,P
457,477,P
458,478,P
459,479,P
460,480,P
461,481,P
462,482,P
463,483,P
464,484,P
465,485,P
466,486,P
467,487,P
468,488,P
469,489,P
470,491,P
471,492,P
472,493,P
473,494,P
474,495,P
475,496,F
476,497,F
477,498,F
478,499,F
479,500,C
480,501,P
481,502,C
482,504,C
483,506,C
484,578,P
485,700,F
486,701,F
487,702,F
488,703,F
489,704,F
490,705,P
491,706,P
492,707,P
493,708,P
494,709,P
495,710,P
496,711,P
497,712,P
498,713,P
499,714,P
500,715,P
501,716,P
